"lag","cost","nu","gamma","corr_pred"
4,512,0.5,0.0625,0.625221112439198
5,512,0.5,0.0625,0.625221112439198
1,128,0.4,0.0625,0.625122367268588
2,128,0.4,0.0625,0.625122367268588
3,128,0.4,0.0625,0.625122367268588
4,128,0.4,0.0625,0.625122367268588
5,128,0.4,0.0625,0.625122367268588
1,2048,0.4,0.0625,0.625014473759907
2,2048,0.4,0.0625,0.625014473759907
3,2048,0.4,0.0625,0.625014473759907
4,2048,0.4,0.0625,0.625014473759907
5,2048,0.4,0.0625,0.625014473759907
1,8,0.7,0.0625,0.624643788123548
2,8,0.7,0.0625,0.624643788123548
3,8,0.7,0.0625,0.624643788123548
4,8,0.7,0.0625,0.624643788123548
5,8,0.7,0.0625,0.624643788123548
1,8,0.5,0.125,0.624377072008912
2,8,0.5,0.125,0.624377072008912
3,8,0.5,0.125,0.624377072008912
4,8,0.5,0.125,0.624377072008912
5,8,0.5,0.125,0.624377072008912
1,128,0.7,0.125,0.624121903530815
2,128,0.7,0.125,0.624121903530815
3,128,0.7,0.125,0.624121903530815
4,128,0.7,0.125,0.624121903530815
5,128,0.7,0.125,0.624121903530815
1,2048,0.5,0.0625,0.624066833949314
2,2048,0.5,0.0625,0.624066833949314
3,2048,0.5,0.0625,0.624066833949314
4,2048,0.5,0.0625,0.624066833949314
5,2048,0.5,0.0625,0.624066833949314
1,8,0.6,0.0625,0.624023230042786
2,8,0.6,0.0625,0.624023230042786
3,8,0.6,0.0625,0.624023230042786
4,8,0.6,0.0625,0.624023230042786
5,8,0.6,0.0625,0.624023230042786
1,64,0.5,0.125,0.623868135519584
2,64,0.5,0.125,0.623868135519584
3,64,0.5,0.125,0.623868135519584
4,64,0.5,0.125,0.623868135519584
5,64,0.5,0.125,0.623868135519584
1,128,0.6,0.125,0.623700498555287
2,128,0.6,0.125,0.623700498555287
3,128,0.6,0.125,0.623700498555287
4,128,0.6,0.125,0.623700498555287
5,128,0.6,0.125,0.623700498555287
1,256,0.9,0.0625,0.623507011429171
2,256,0.9,0.0625,0.623507011429171
3,256,0.9,0.0625,0.623507011429171
4,256,0.9,0.0625,0.623507011429171
5,256,0.9,0.0625,0.623507011429171
1,4096,0.6,0.0625,0.623317563716819
2,4096,0.6,0.0625,0.623317563716819
3,4096,0.6,0.0625,0.623317563716819
4,4096,0.6,0.0625,0.623317563716819
5,4096,0.6,0.0625,0.623317563716819
1,2048,0.6,0.0625,0.623139856246746
2,2048,0.6,0.0625,0.623139856246746
3,2048,0.6,0.0625,0.623139856246746
4,2048,0.6,0.0625,0.623139856246746
5,2048,0.6,0.0625,0.623139856246746
1,4,0.9,0.25,0.622712127520735
2,4,0.9,0.25,0.622712127520735
3,4,0.9,0.25,0.622712127520735
4,4,0.9,0.25,0.622712127520735
5,4,0.9,0.25,0.622712127520735
1,4,0.7,0.125,0.622652157369771
2,4,0.7,0.125,0.622652157369771
3,4,0.7,0.125,0.622652157369771
4,4,0.7,0.125,0.622652157369771
5,4,0.7,0.125,0.622652157369771
1,2048,0.8,0.0625,0.622554454493008
2,2048,0.8,0.0625,0.622554454493008
3,2048,0.8,0.0625,0.622554454493008
4,2048,0.8,0.0625,0.622554454493008
5,2048,0.8,0.0625,0.622554454493008
1,4096,0.7,0.125,0.622231160190364
2,4096,0.7,0.125,0.622231160190364
3,4096,0.7,0.125,0.622231160190364
4,4096,0.7,0.125,0.622231160190364
5,4096,0.7,0.125,0.622231160190364
1,64,0.4,0.125,0.621510925281041
2,64,0.4,0.125,0.621510925281041
3,64,0.4,0.125,0.621510925281041
4,64,0.4,0.125,0.621510925281041
5,64,0.4,0.125,0.621510925281041
1,8,0.9,0.0625,0.621437262080687
2,8,0.9,0.0625,0.621437262080687
3,8,0.9,0.0625,0.621437262080687
4,8,0.9,0.0625,0.621437262080687
5,8,0.9,0.0625,0.621437262080687
1,4096,0.7,0.0625,0.621421356508032
2,4096,0.7,0.0625,0.621421356508032
3,4096,0.7,0.0625,0.621421356508032
4,4096,0.7,0.0625,0.621421356508032
5,4096,0.7,0.0625,0.621421356508032
1,8,0.5,0.0625,0.621411260505816
2,8,0.5,0.0625,0.621411260505816
3,8,0.5,0.0625,0.621411260505816
4,8,0.5,0.0625,0.621411260505816
5,8,0.5,0.0625,0.621411260505816
1,32,0.8,0.25,0.621195570772543
2,32,0.8,0.25,0.621195570772543
3,32,0.8,0.25,0.621195570772543
