"lag","cost","nu","gamma","corr_pred"
1,64,0.7,0.0625,0.675088004233711
2,64,0.7,0.0625,0.675088004233711
3,64,0.7,0.0625,0.675088004233711
4,64,0.7,0.0625,0.675088004233711
5,64,0.7,0.0625,0.675088004233711
1,2048,0.6,0.015625,0.675073628708733
2,2048,0.6,0.015625,0.675073628708733
3,2048,0.6,0.015625,0.675073628708733
4,2048,0.6,0.015625,0.675073628708733
5,2048,0.6,0.015625,0.675073628708733
1,64,0.9,0.015625,0.675050655052264
2,64,0.9,0.015625,0.675050655052264
3,64,0.9,0.015625,0.675050655052264
4,64,0.9,0.015625,0.675050655052264
5,64,0.9,0.015625,0.675050655052264
1,256,0.9,0.015625,0.675039449263967
2,256,0.9,0.015625,0.675039449263967
3,256,0.9,0.015625,0.675039449263967
4,256,0.9,0.015625,0.675039449263967
5,256,0.9,0.015625,0.675039449263967
1,4,0.8,0.5,0.675019855900012
2,4,0.8,0.5,0.675019855900012
3,4,0.8,0.5,0.675019855900012
4,4,0.8,0.5,0.675019855900012
5,4,0.8,0.5,0.675019855900012
1,512,0.9,0.015625,0.675014937928431
2,512,0.9,0.015625,0.675014937928431
3,512,0.9,0.015625,0.675014937928431
4,512,0.9,0.015625,0.675014937928431
5,512,0.9,0.015625,0.675014937928431
1,128,0.9,0.015625,0.675010867189564
2,128,0.9,0.015625,0.675010867189564
3,128,0.9,0.015625,0.675010867189564
4,128,0.9,0.015625,0.675010867189564
5,128,0.9,0.015625,0.675010867189564
1,256,0.7,0.0625,0.674997024419337
2,256,0.7,0.0625,0.674997024419337
3,256,0.7,0.0625,0.674997024419337
4,256,0.7,0.0625,0.674997024419337
5,256,0.7,0.0625,0.674997024419337
1,64,0.8,0.25,0.674991024115316
2,64,0.8,0.25,0.674991024115316
3,64,0.8,0.25,0.674991024115316
4,64,0.8,0.25,0.674991024115316
5,64,0.8,0.25,0.674991024115316
1,8,0.9,0.25,0.674964359178798
2,8,0.9,0.25,0.674964359178798
3,8,0.9,0.25,0.674964359178798
4,8,0.9,0.25,0.674964359178798
5,8,0.9,0.25,0.674964359178798
1,512,0.8,0.125,0.674953577114173
2,512,0.8,0.125,0.674953577114173
3,512,0.8,0.125,0.674953577114173
4,512,0.8,0.125,0.674953577114173
5,512,0.8,0.125,0.674953577114173
1,1024,0.9,0.015625,0.674929989210349
2,1024,0.9,0.015625,0.674929989210349
3,1024,0.9,0.015625,0.674929989210349
4,1024,0.9,0.015625,0.674929989210349
5,1024,0.9,0.015625,0.674929989210349
1,32,0.6,0.03125,0.674894307676568
2,32,0.6,0.03125,0.674894307676568
3,32,0.6,0.03125,0.674894307676568
4,32,0.6,0.03125,0.674894307676568
5,32,0.6,0.03125,0.674894307676568
1,1024,0.5,0.5,0.674851854566077
2,1024,0.5,0.5,0.674851854566077
3,1024,0.5,0.5,0.674851854566077
4,1024,0.5,0.5,0.674851854566077
5,1024,0.5,0.5,0.674851854566077
1,4096,0.7,0.0625,0.674820116566488
2,4096,0.7,0.0625,0.674820116566488
3,4096,0.7,0.0625,0.674820116566488
4,4096,0.7,0.0625,0.674820116566488
5,4096,0.7,0.0625,0.674820116566488
1,512,0.5,0.5,0.674799049059436
2,512,0.5,0.5,0.674799049059436
3,512,0.5,0.5,0.674799049059436
4,512,0.5,0.5,0.674799049059436
5,512,0.5,0.5,0.674799049059436
1,64,0.6,0.015625,0.674794193778837
2,64,0.6,0.015625,0.674794193778837
3,64,0.6,0.015625,0.674794193778837
4,64,0.6,0.015625,0.674794193778837
5,64,0.6,0.015625,0.674794193778837
1,16,0.7,0.25,0.674771647242136
2,16,0.7,0.25,0.674771647242136
3,16,0.7,0.25,0.674771647242136
4,16,0.7,0.25,0.674771647242136
5,16,0.7,0.25,0.674771647242136
1,128,0.7,0.0625,0.674744167273703
2,128,0.7,0.0625,0.674744167273703
3,128,0.7,0.0625,0.674744167273703
4,128,0.7,0.0625,0.674744167273703
5,128,0.7,0.0625,0.674744167273703
1,64,0.7,0.125,0.674658502799957
2,64,0.7,0.125,0.674658502799957
3,64,0.7,0.125,0.674658502799957
4,64,0.7,0.125,0.674658502799957
5,64,0.7,0.125,0.674658502799957
1,256,0.9,0.0625,0.674632680158893
2,256,0.9,0.0625,0.674632680158893
3,256,0.9,0.0625,0.674632680158893
4,256,0.9,0.0625,0.674632680158893
5,256,0.9,0.0625,0.674632680158893
1,8,0.9,0.03125,0.674600601119618
2,8,0.9,0.03125,0.674600601119618
3,8,0.9,0.03125,0.674600601119618
4,8,0.9,0.03125,0.674600601119618
5,8,0.9,0.03125,0.674600601119618
1,8,0.8,0.5,0.674542706241175
2,8,0.8,0.5,0.674542706241175
3,8,0.8,0.5,0.674542706241175
4,8,0.8,0.5,0.674542706241175
5,8,0.8,0.5,0.674542706241175
1,128,0.8,0.25,0.674537420793213
2,128,0.8,0.25,0.674537420793213
3,128,0.8,0.25,0.674537420793213
4,128,0.8,0.25,0.674537420793213
5,128,0.8,0.25,0.674537420793213
1,16,0.7,0.125,0.67453362809563
2,16,0.7,0.125,0.67453362809563
3,16,0.7,0.125,0.67453362809563
4,16,0.7,0.125,0.67453362809563
5,16,0.7,0.125,0.67453362809563
1,1024,0.9,0.125,0.674498730361483
2,1024,0.9,0.125,0.674498730361483
3,1024,0.9,0.125,0.674498730361483
4,1024,0.9,0.125,0.674498730361483
5,1024,0.9,0.125,0.674498730361483
1,128,0.7,0.25,0.674459842192762
2,128,0.7,0.25,0.674459842192762
3,128,0.7,0.25,0.674459842192762
4,128,0.7,0.25,0.674459842192762
5,128,0.7,0.25,0.674459842192762
1,2048,0.9,0.125,0.674364014819429
2,2048,0.9,0.125,0.674364014819429
3,2048,0.9,0.125,0.674364014819429
4,2048,0.9,0.125,0.674364014819429
5,2048,0.9,0.125,0.674364014819429
1,512,0.9,0.0625,0.674336710012894
2,512,0.9,0.0625,0.674336710012894
3,512,0.9,0.0625,0.674336710012894
4,512,0.9,0.0625,0.674336710012894
5,512,0.9,0.0625,0.674336710012894
1,512,0.9,0.125,0.674316486032046
2,512,0.9,0.125,0.674316486032046
3,512,0.9,0.125,0.674316486032046
4,512,0.9,0.125,0.674316486032046
5,512,0.9,0.125,0.674316486032046
1,1024,0.7,0.125,0.674274678803949
2,1024,0.7,0.125,0.674274678803949
3,1024,0.7,0.125,0.674274678803949
4,1024,0.7,0.125,0.674274678803949
5,1024,0.7,0.125,0.674274678803949
1,4,0.7,0.25,0.674237142794282
2,4,0.7,0.25,0.674237142794282
3,4,0.7,0.25,0.674237142794282
4,4,0.7,0.25,0.674237142794282
5,4,0.7,0.25,0.674237142794282
1,512,0.7,0.125,0.674205901320922
2,512,0.7,0.125,0.674205901320922
3,512,0.7,0.125,0.674205901320922
4,512,0.7,0.125,0.674205901320922
5,512,0.7,0.125,0.674205901320922
1,256,0.7,0.125,0.674203082129344
2,256,0.7,0.125,0.674203082129344
3,256,0.7,0.125,0.674203082129344
4,256,0.7,0.125,0.674203082129344
5,256,0.7,0.125,0.674203082129344
1,16,0.9,0.25,0.674153638577455
2,16,0.9,0.25,0.674153638577455
3,16,0.9,0.25,0.674153638577455
4,16,0.9,0.25,0.674153638577455
5,16,0.9,0.25,0.674153638577455
1,4096,0.9,0.125,0.674144179277947
2,4096,0.9,0.125,0.674144179277947
3,4096,0.9,0.125,0.674144179277947
4,4096,0.9,0.125,0.674144179277947
