PAM,VFSC
96.19,59.96
96.08,59.89
96.00,59.90
95.95,60.00
95.92,60.28
95.89,60.78
95.93,61.37
96.03,62.03
96.21,62.76
96.51,63.53
97.05,64.37
97.68,65.21
98.36,66.00
99.08,66.72
99.82,67.34
100.49,67.57
101.14,67.65
101.76,67.66
102.35,67.62
102.91,67.59
103.35,67.71
103.71,67.98
104.04,68.27
104.37,68.55
104.70,68.81
105.14,69.00
105.70,69.12
106.25,69.17
106.79,69.15
107.28,69.04
107.66,68.79
107.90,68.37
108.05,67.89
108.12,67.36
108.10,66.83
107.99,66.30
107.72,65.94
107.37,65.61
106.96,65.31
106.51,65.03
106.04,64.77
105.60,64.54
105.22,64.34
104.82,64.14
104.41,63.93
103.98,63.71
103.51,63.46
102.91,63.08
102.29,62.67
101.66,62.26
101.03,61.84
100.42,61.44
99.88,61.09
99.44,60.81
99.03,60.57
98.64,60.35
98.29,60.17
97.96,60.01
97.58,59.84
97.19,59.69
96.85,59.57
96.56,59.51
96.35,59.50
96.24,59.57
96.35,59.75
96.55,60.01
96.84,60.35
97.19,60.77
97.61,61.27
98.07,61.98
98.57,62.79
99.09,63.63
99.64,64.45
100.20,65.22
100.75,65.82
101.29,66.12
101.81,66.32
102.31,66.45
102.77,66.53
103.18,66.59
103.44,66.63
103.62,66.68
103.77,66.76
103.93,66.90
104.11,67.10
104.40,67.50
104.85,68.15
105.32,68.85
105.81,69.57
106.30,70.27
106.76,70.89
107.14,71.30
107.48,71.63
107.77,71.87
108.01,72.01
108.19,72.06
108.20,71.86
108.13,71.53
108.03,71.17
107.92,70.82
107.83,70.51
107.84,70.34
108.05,70.46
108.28,70.65
108.50,70.90
108.70,71.20
108.83,71.54
108.79,71.93
108.68,72.30
108.51,72.63
108.29,72.91
108.03,73.10
107.76,73.03
107.46,72.81
107.12,72.49
106.73,72.11
106.28,71.67
105.75,71.18
105.08,70.65
104.38,70.11
103.67,69.60
102.97,69.13
102.30,68.72
101.64,68.45
101.07,68.27
100.62,68.19
100.32,68.20
100.27,68.34
100.70,68.71
101.27,69.15
101.92,69.61
102.58,70.06
103.08,70.42
103.34,70.62
103.53,70.76
103.66,70.84
103.73,70.86
103.78,70.85
103.82,70.81
103.82,70.71
103.76,70.54
103.66,70.32
103.46,69.94
103.16,69.43
102.84,68.91
102.53,68.42
102.25,68.01
102.10,67.95
102.04,68.12
102.02,68.32
102.03,68.51
102.03,68.62
101.97,68.27
101.90,67.79
101.82,67.26
101.75,66.73
101.69,66.31
101.68,66.19
101.66,66.12
101.63,66.10
101.57,66.10
101.45,66.07
101.26,65.94
101.02,65.80
100.73,65.63
100.39,65.46
99.99,65.28
99.48,65.12
98.95,64.94
98.39,64.75
97.83,64.54
97.28,64.31
96.84,64.01
96.44,63.69
96.04,63.34
95.66,62.97
95.28,62.57
94.86,62.15
94.41,61.72
93.98,61.26
93.56,60.79
93.17,60.29
92.84,59.73
92.58,59.12
92.35,58.52
92.16,57.95
92.00,57.44
91.85,57.06
